Column;Description;Special
SK_ID_CURR;ID of loan in our sample;
TARGET;Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample, 0 - all other cases);
NAME_CONTRACT_TYPE;Identification if loan is cash or revolving;
CODE_GENDER;Gender of the client;
FLAG_OWN_CAR;Flag if the client owns a car;
FLAG_OWN_REALTY;Flag if client owns a house or flat;
CNT_CHILDREN;Number of children the client has;
AMT_INCOME_TOTAL;Income of the client;
AMT_CREDIT;Credit amount of the loan;
AMT_ANNUITY;Loan annuity;
AMT_GOODS_PRICE;For consumer loans it is the price of the goods for which the loan is given;
NAME_TYPE_SUITE;Who was accompanying client when he was applying for the loan;
NAME_INCOME_TYPE;Clients income type (businessman, working, maternity leave,…);
NAME_EDUCATION_TYPE;Level of highest education the client achieved;
NAME_FAMILY_STATUS;Family status of the client;
NAME_HOUSING_TYPE;What is the housing situation of the client (renting, living with parents, ...);
REGION_POPULATION_RELATIVE;Normalized population of region where client lives (higher number means the client lives in more populated region);normalized 
DAYS_BIRTH;Client's age in days at the time of application;time only relative to the application
DAYS_EMPLOYED;How many days before the application the person started current employment;time only relative to the application
DAYS_REGISTRATION;How many days before the application did client change his registration;time only relative to the application
DAYS_ID_PUBLISH;How many days before the application did client change the identity document with which he applied for the loan;time only relative to the application
OWN_CAR_AGE;Age of client's car;
FLAG_MOBIL;Did client provide mobile phone (1=YES, 0=NO);
FLAG_EMP_PHONE;Did client provide work phone (1=YES, 0=NO);
FLAG_WORK_PHONE;Did client provide home phone (1=YES, 0=NO);
FLAG_CONT_MOBILE;Was mobile phone reachable (1=YES, 0=NO);
FLAG_PHONE;Did client provide home phone (1=YES, 0=NO);
FLAG_EMAIL;Did client provide email (1=YES, 0=NO);
OCCUPATION_TYPE;What kind of occupation does the client have;
CNT_FAM_MEMBERS;How many family members does client have;
REGION_RATING_CLIENT;Our rating of the region where client lives (1,2,3);
REGION_RATING_CLIENT_W_CITY;Our rating of the region where client lives with taking city into account (1,2,3);
WEEKDAY_APPR_PROCESS_START;On which day of the week did the client apply for the loan;
HOUR_APPR_PROCESS_START;Approximately at what hour did the client apply for the loan;rounded
REG_REGION_NOT_LIVE_REGION;Flag if client's permanent address does not match contact address (1=different, 0=same, at region level);
REG_REGION_NOT_WORK_REGION;Flag if client's permanent address does not match work address (1=different, 0=same, at region level);
LIVE_REGION_NOT_WORK_REGION;Flag if client's contact address does not match work address (1=different, 0=same, at region level);
REG_CITY_NOT_LIVE_CITY;Flag if client's permanent address does not match contact address (1=different, 0=same, at city level);
REG_CITY_NOT_WORK_CITY;Flag if client's permanent address does not match work address (1=different, 0=same, at city level);
LIVE_CITY_NOT_WORK_CITY;Flag if client's contact address does not match work address (1=different, 0=same, at city level);
ORGANIZATION_TYPE;Type of organization where client works;
EXT_SOURCE_1;Normalized score from external data source;normalized
EXT_SOURCE_2;Normalized score from external data source;normalized
EXT_SOURCE_3;Normalized score from external data source;normalized
APARTMENTS_AVG;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
BASEMENTAREA_AVG;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
YEARS_BEGINEXPLUATATION_AVG;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
YEARS_BUILD_AVG;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
COMMONAREA_AVG;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
ELEVATORS_AVG;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
ENTRANCES_AVG;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
FLOORSMAX_AVG;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
FLOORSMIN_AVG;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
LANDAREA_AVG;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
LIVINGAPARTMENTS_AVG;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
LIVINGAREA_AVG;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
NONLIVINGAPARTMENTS_AVG;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
NONLIVINGAREA_AVG;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
APARTMENTS_MODE;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
BASEMENTAREA_MODE;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
YEARS_BEGINEXPLUATATION_MODE;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
YEARS_BUILD_MODE;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
COMMONAREA_MODE;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
ELEVATORS_MODE;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
ENTRANCES_MODE;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
FLOORSMAX_MODE;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
FLOORSMIN_MODE;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
LANDAREA_MODE;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
LIVINGAPARTMENTS_MODE;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
LIVINGAREA_MODE;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
NONLIVINGAPARTMENTS_MODE;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
NONLIVINGAREA_MODE;Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor;normalized
